PROJID,PROJNAME,STATENUM,FEDNUM,REGION,LOCATION,PROJMAN,PHONENUM,ANTADVDT,DESCRIPTION,ADDLINFO,ENGEST
Z640780000,Airport Way / Cushman Street Intersection Reconstruction,Z640780000,2312,Northern Region,Fairbanks,Carl F Heim,(907)451-5359,January 2022,"Reconstruct the intersection at Airport Way and Cushman Street.  Work includes roadside hardware, drainage improvements, intersection improvements, utilities and ADA improvements.",Project will be advertised as CMGC RFP. Project website: https://dot.alaska.gov/nreg/airport-cushman/,"Between $5,000,000 and $10,000,000"
NFAPT0383a,Barrow Airport Visual Aid Replacement,NFAPT0383a,3-02-0200-123-2019,Northern Region,Utqiagvik,Daniel A Phillips,(907)451-2926,January 2022,"Build pad and replace primary lighted windcone with a new base in place and with a new panel-style segmented circle, and replace secondary lighted windcone in place.",,"Between $200,000 and $500,000"
NFHWY00158,Old Richardson Highway Intersection Improvements,NFHWY00158,620010,Northern Region,North Pole,John J Netardus,(907)451-5448,January 2022,"Improve intersections in North Pole at Santa Claus Lane and East 5th Avenue, and North Pole High School Boulevard at Old Richardson Highway and 8th Avenue.  Work will include roadside hardware and utilities.  The railroad crossings will also be improved to current standards.",,"Between $500,000 and $1,000,000"
Z618720000,Airport Way (West) Improvements,Z618720000,610004,Northern Region,Fairbanks,David K Fischer,(907)451-5357,February 2022,"Reconstruct Airport Way, Hoselton Road, Dale Road, Old Airport Way and Wien Lake Road.  Work includes roadside hardware, drainage improvements, intersection improvements, utilities and ADA improvements such as curb ramps and sidewalks.",,"Between $10,000,000 and $20,000,000"
NFHWY00447,Airport Way West Bicycle/Pedestrian Facility,NFHWY00447,2449,Northern Region,Fairbanks,David K Fischer,(907)451-5357,February 2022,"Construct a bicycle/pedestrian connection on Airport Way West from the Fairbanks International Airport terminal to Dale Road.  Work will include drainage and intersection improvements, and roadside hardware.",,"Between $500,000 and $1,000,000"
NFHWY00624,ALASKA HWY MP 1235-1252 REHABILITATION,NFHWY00624,0A110114,Northern Region,Northway,David K Fischer,(907)451-5357,February 2022,"Rehabilitate the Alaska Highway between Milepost 1235-1252 and construct new passing lanes.  Project work will include bridge work, roadside hardware, drainage improvements, intersection improvements, utilities and wayside repairs.",,"Between $20,000,000 and $30,000,000"
NFHWY00245,HSIP: Airport Way / Steese Expressway Reconstruction,NFHWY00245,2385,Northern Region,Fairbanks,Carl F Heim,(907)451-5359,February 2022,"Reconstruct the intersection of Airport Way, Steese Expressway, Gaffney Road, and the Richardson Highway.  Work includes roadside hardware, drainage improvements, intersection improvements, utilities, and ADA improvements including both curb ramps and sidewalks.",This project will advertise with the Steese Expressway Signal Interconnect (NFHWY00578) and Steese Expressway Chena River Bridge Redeck (NFHWY00421).,"Between $10,000,000 and $20,000,000"
NFHWY00632,Richardson Highway MP 298 Revetment,NFHWY00632,Pending,Northern Region,Birch Lake,John J Netardus,(907)451-5448,February 2022,"Install a revetment along the Richardson Highway and Tanana River, to prevent erosion.  Project includes drainage improvements and roadside hardware.","Specifications will require winter construction.
Tentative Quantities for materials are as follows:
Unclassified Excavation: 3,547 CY ---
Geotextile: 7,800 SY ---
Subbase F: 310 TON ---
Riprap, Class II: 676 TON ---
Riprap, Class III: 22,104 TON ---","Between $1,000,000 and $2,500,000"
NFHWY00583,RICHARDSON HWY MP 329-340 PAVEMENT PRESERVATION,NFHWY00583,714027,Northern Region,Eielson Afb,Jason J Hill,(907)451-5444,February 2022,"Resurface the Richardson Highway between MP 329-340. Work will include pavement preservation, roadside hardware, drainage improvements, and utilities.",,"Between $2,500,000 and $5,000,000"
Z637720000,Selawik Barge Landing Access Road & Boardwalk Improvements,Z637720000,2280,Northern Region,Selawik,Christopher F Johnston,(907)451-2322,February 2022,"Rehabilitate the Barge Landing Access Road and Boardwalk in Selawik, Alaska. Project will include construction of a new barge staging pad, and associated access points, roadside hardware, and utilities.",,"Between $5,000,000 and $10,000,000"
NFHWY00421,Steese Expressway Chena River Bridge #0231 Redeck,NFHWY00421,651033,Northern Region,Fairbanks,Russell M Johnson,(907)451-5059,February 2022,"Replace the deck of the Chena River Bridge #0231 and resurface the Steese Expressway.  In addition to bridge work, there will be pavement preservation, roadside hardware, ADA and drainage improvements.","Replace the deck of the Chena River Bridge #0231 and resurface the Steese Expressway.  In addition to bridge work there will be pavement preservation, roadside hardware, ADA and drainage improvements.  The project is anticipated to advertise with the Airport Way/Steese Expressway Reconstruction project (NFHWY00245) and Steese Expressway Signal Interconnect - Airport Way to 3rd Street project (NFHWY00578).","Between $2,500,000 and $5,000,000"
NFHWY00578,Steese Expressway Interconnect-Airport Way to College Road,NFHWY00578,Pending,Northern Region,Fairbanks,Carl F Heim,(907)451-5359,February 2022,Install a fiber optic signal interconnect system to connect the signals along the Steese Expressway from Airport Way to College Road.  Project includes roadside hardware.,"This project will advertise with the Airport Way/Steese Expressway Reconstruction project. 
NFHWY00245 and Steese Expressway Chena River Bridge Redeck (NFHWY00421).","Between $1,000,000 and $2,500,000"
Z607320000,STEESE EXPRESSWAY/JOHANSEN EXPRESSWAY INTERCHANGE,Z607320000,2337,Northern Region,Fairbanks,Lauren M Little,(907)378-5911,February 2022,"Reconstruct the intersection of the Steese and Johansen Expressways, including improvements to Lazelle Road, Farmers Loop Extension, alterations to City Lights Boulevard, temporary extension of Farmers Loop Extension to Northside Boulevard, and trail and path connections in the project area.  Project will include bridge work, roadside hardware, drainage improvements, ADA improvements, and utilities.",Project will be advertised as CMGC RFP. Project website: https://dot.alaska.gov/nreg/steese-johansen/,"Between $30,000,000 and $40,000,000"
NFHWY00550,TETLIN NATIONAL WILDLIFE REFUGE VISITOR CENTER (WFL),NFHWY00550,27563(001),Northern Region,Tetlin,David K Fischer,(907)451-5357,February 2022,"Paving of a parking area at the Tetlin National Wildlife Refuge Visitor Center at MP 1229.0, a new vault toilet at the Hidden Lake Trail Head at MP 1240.0, and paving the driveway at the Tetlin National Wildlife Refuge Headquarters in Tok at MP 1314.0.","Anticipate advertising with Alaska Highway MP 1235-1252, NFHWY00624",
NFHWY00626,Alaska Highway Passing Lanes - Stage 1 (MP 1280-1300),NFHWY00626,Pending,Northern Region,Tok,Jennifer J Wright,(907)451-2275,March 2022,Construct passing lanes at various locations on the Alaska Highway between Delta Junction and the Canadian border. Improvements will include roadside hardware and drainage improvements.,,"Between $5,000,000 and $10,000,000"
NFAPT00500,Brevig Mission Airport Lighting and Resurfacing,NFAPT00500,3-02-0400-XX-202X,Northern Region,Brevig Mission,Jonathan J Hutchinson,(907)451-5479,March 2022,"Resurface the runways, taxiway, apron. Stabilize slopes, rehabilitate shoulders, and apply a dust palliative.  Rehabilitate airport lighting.",EE is Construction Estimate,"Between $10,000,000 and $20,000,000"
NSHWY00479,Burma Pit Road Little Tonsina Bridge Replacement,NSHWY00479,N/A,Northern Region,Tonsina,David M Arvey,(907)451-2621,March 2022,"Replace the Little Tonsina River culverts with a new bridge; Little Tonsina River Bridge #568, on Burma Pit Road near MP 74.2 of the Richardson Highway.",,"Between $1,000,000 and $2,500,000"
Z609110000,DALTON HWY MP 0-9 RECONSTRUCTION,Z609110000,652016,Northern Region,Regionwide,Carl F Heim,(907)451-5359,March 2022,"Reconstruct the Dalton Highway between MP 0-9.  Work includes bridge work, drainage improvements, utilities, and roadside hardware.","Reconstruct the Dalton Highway from MP 0-9. Work includes re-routing the highway approximately 7.5 miles, constructing a new bridge over Lost Creek, new culverts, and an application of dust palliative. Project will be advertised as CMGC RFP. Project website: https://dot.alaska.gov/nreg/dalton/","Between $40,000,000 and $50,000,000"
Z607350000,Dalton Hwy MP 18-37 Reconstruction,Z607350000,652017,Northern Region,Northern Region,Carl F Heim,(907)451-5359,March 2022,"Reconstruct the Dalton Highway from Milepost 18 to 37.  The project work includes bridge work, roadside hardware and drainage improvements.  Bridge work includes Hess Creek Bridge #1213 replacement.",,"Between $40,000,000 and $50,000,000"
NFHWY00603,FAST AREA SURFACE UPGRADES FFY2022,NFHWY00603,Pending,Northern Region,Fairbanks North Star Borough,John J Netardus,(907)451-5448,March 2022,"Resurface pavement, resurface unpaved roadway, replace sidewalk curb with Americans with Disabilities Act (ADA) compliant curb ramps at street corners, and install protective driveway aprons on various streets in Fairbanks and North Pole.",,
NFAPT00650,Kotzebue Airport Runway Settlement Repair,NFAPT00650,Pending,Northern Region,Kotzebue,Jonathan J Hutchinson,(907)451-5479,March 2022,Repair significant depressions on Runway 9/27 that are causing large ponds to form between Taxiways C and D.,22E,"Between $2,500,000 and $5,000,000"
NFAPT00354,Northern Region Electrical Equipment Building Replacement,NFAPT00354,Pending,Northern Region,Tok,Christopher F Johnston,(907)451-2322,March 2022,Replace the electrical equipment buildings at the Eagle and Tok Airports.,,"Between $500,000 and $1,000,000"
Z638420000,Point Hope Airport Realignment,Z638420000,3-02-0226-XXX-20XX,Northern Region,Point Hope,Jonathan J Hutchinson,(907)451-5479,March 2022,Realign the runway at the Point Hope Airport.,CY21 and CY22,"Between $20,000,000 and $30,000,000"
Z605630000,Saint Mary's Airport Improvements,Z605630000,PENDING,Northern Region,St Mary's,Christopher F Johnston,(907)451-2322,March 2022,"Rehabilitate and resurface runways, taxiways, and apron. Project will include replacing airport lighting and runway safety area improvements.",,"Between $20,000,000 and $30,000,000"
NFHWY00631,TAYLOR HIGHWAY MP 54 CULVERT REPLACEMENT,NFHWY00631,Pending,Northern Region,Tok,John J Netardus,(907)451-5448,March 2022,"Replace deep culverts at various locations in the Northern Region. Repair, replace, protect and stabilize highway and bridge approach embankments along river or stream channels. Project will also include drainage improvements and roadside hardware.",,"Between $500,000 and $1,000,000"
NFHWY00269,FMATS: NORTH POLE STREETLIGHT STANDARDIZATION & IMPROVEMENTS,NFHWY00269,2403,Northern Region,North Pole,Ethan E Graetz,(907)451-2281,April 2022,CLARIFY SCOPE:  Replace the lighting system with more energy efficient technologies and install new LED luminaires.  Work will include roadside hardware and utilities.,,"Between $2,500,000 and $5,000,000"
Z621230000,Nome Port Road Reconstruction,Z621230000,2278,Northern Region,Nome,Barbara L Tanner,(907)451-3057,April 2022,"Reconstruct and realign Port Road in Nome, including drainage improvements and construction of sidewalks.",,"Between $2,500,000 and $5,000,000"
25RC182609,NOR REG DYNAMIC MESSAGING SIGNS - TARGETED AIRSHED GRANT,25RC182609,N/A,Northern Region,Fairbanks North Star Borough,Ethan E Graetz,(907)451-2281,April 2022,Install and operate digital messaging signs on the Parks Highway MP 357 and Richardson Highway MP 359.,,"Between $1,000,000 and $2,500,000"
NFHWY00133,Richardson Highway MP 35-51 Resurfacing,NFHWY00133,711074,Northern Region,Valdez,Colleen M Ackiss,(907)451-5179,April 2022,"Resurface the Richardson Highway between MP 35-51.  Improvements include bridge work, retaining wall replacement, roadside hardware, drainage, and utility relocations.",,"Between $10,000,000 and $20,000,000"
NFHWY00539,COPPER RIVER BOAT LAUNCH FACILITIES IMPROVEMENTS (FLAP),NFHWY00539,851072,Northern Region,Mccarthy,Daniel S Adamczak,(907)451-2294,May 2022,Improve the Copper River Boat Launch facilities located at MP 1.5 on the McCarthy Road.  Work includes roadside hardware and drainage improvements.,,
Z768760000,Cordova Airport ARFF and SREB Replacement,Z768760000,Pending,Northern Region,Cordova,Lauren A Staft,(907)451-5424,May 2022,"Replace the ARFF and SREB buildings at the Merle K. ""Mudhole"" Smith Airport in Cordova.",,"Between $10,000,000 and $20,000,000"
NFHWY00627,"FAIRBANKS AREA PM 2.5 PLUG-INS: BIRCH HILL, CHENA LAKES, UAF",NFHWY00627,N/A,Northern Region,Fairbanks North Star Borough,Ethan E Graetz,(907)451-2281,May 2022,"Provide electrical motor vehicle plug-ins at the following locations in the Fairbanks PM 2.5 non-attainment area:  Birch Hill, Chena Lakes, and the UAF U-Park Building. Project includes utilities and drainage improvements.",,"Between $500,000 and $1,000,000"
NFHWY00551,Northern Region ADA Improvements - Fairbanks: 6th Avenue,NFHWY00551,N/A,Northern Region,Northern Region,Ivet Hall,(907)451-5386,May 2022,"This project proposes to reconstruct ADA improvements and potentially widen the north sidewalk on the 6th Avenue in Fairbanks, Alaska. The project may also include reconstruction, roadside-hardware, drainage improvements, intersection improvements and utilities.",Anticipated to advertise with NFHWY00504 project.,"Between $500,000 and $1,000,000"
NFHWY00504,Northern Region ADA Improvements - Fairbanks: Geist Road,NFHWY00504,Pending,Northern Region,Fairbanks,Ivet Hall,(907)451-5386,May 2022,"This project proposes to reconstruct ADA improvements and potentially widen sidewalks on both sides of Geist Road within the project area in Fairbanks, Alaska. The project may also include reconstruction, roadside-hardware, drainage improvements, intersection improvements and utilities.",Anticipated to advertise with NFHWY00551 project.,"Between $500,000 and $1,000,000"
NFHWY00290,COLLEGE ROAD BUS PULLOUTS,NFHWY00290,640012,Northern Region,Fairbanks,John J Netardus,(907)451-5448,June 2022,"Construct new bus stop facilities along College Road.  Work includes roadside hardware, drainage improvements, ADA improvements and utilities.",,"Between $500,000 and $1,000,000"
NFAPT00249,Deering Airport Improvements,NFAPT00249,3-02-0400-XX-202X,Northern Region,Deering,Jonathan J Hutchinson,(907)451-5479,June 2022,"Resurface the existing runway, taxiway and apron and provide drainage improvements.  Upgrade lighting system and electrical building.  Provide erosion protection for the runway safety area at Runway 29.  Replace segmented circle.  Upgrade and armor the airport access road to reduce flooding and provide cross drainage.  Apply dust palliative to all airport operational surfaces and access road.",,"Between $10,000,000 and $20,000,000"
NFHWY00587,EDGERTON HWY MP 24 - 29 RESURFACING,NFHWY00587,850030,Northern Region,Mccarthy,John J Netardus,(907)451-5448,October 2022,"Resurface the Edgerton Highway from MP 24 - 29.  Project will include drainage improvements, roadside hardware, and utilities.",,
NFHWY00588,ELLIOTT HIGHWAY MP 18 - 29 RESURFACING,NFHWY00588,650035,Northern Region,Livengood,John J Netardus,(907)451-5448,November 2022,"Resurface the Elliott Highway from MP 18 - 29. Project will include selected areas of roadway rehabilitation, bridge work, drainage improvements, roadside hardware, and utilities.",,
NFHWY00265,RICHARDSON HWY MP 128-138 REHABILITATION,NFHWY00265,N/A,Northern Region,Tazlina,Russell M Johnson,(907)451-5059,November 2022,"Rehabilitate the Richardson Highway and bridges between MP 128 and MP 138.  Project work will include road realignment at MP 134, drainage improvements, intersection improvements, roadside hardware, and utilities.",,
Z631860000,RICHARDSON HWY MP 167-173,Z631860000,713010,Northern Region,Regionwide,Russell M Johnson,(907)451-5059,December 2022,"Reconstruct the Richardson Highway between MP 167 and 173.  Project includes roadside hardware, drainage improvements and utility relocations.",Reconstruct the Richardson Highway between mileposts 167-173.,"Between $20,000,000 and $30,000,000"
Z607150000,RICHARDSON HWY MP 266-341 PASSING LANES,Z607150000,0A23021,Northern Region,Fairbanks North Star Borough,Carl F Heim,(907)451-5359,December 2022,"Construct passing lanes at multiple locations between Milepost 266 and 341 on the Richardson Highway. Work includes roadside hardware, drainage improvements, intersection improvements and utilities.",,"Between $30,000,000 and $40,000,000"
SFAPT00174,FFY18 VARIOUS PRIMARY/NON-PRIMARY EAS A/P VISUAL AID REPLCMN,SFAPT00174,3-02-0200-121-2018,Southcoast Region,Regionwide,Charles M Tripp,(907)465-4439,December 2021,Replace lighted beacon at Yakutat Airport.,To be advertised with project SFAPT00203 (relocate Segmented Circle and Lighted Wind Cone).,"Between $200,000 and $500,000"
SFAPT00203,FFY19 VARIOUS PRIMARY/NON PRIMARY EAS AIRPORTS VISUAL AID RE,SFAPT00203,3-02-0200-126-2019,Southcoast Region,Regionwide,Marcus G Zimmerman,(907)465-4655,December 2021,Remove and relocate primary wind cone and segmented circle at Yakutat Airport including gravel pad and access road work.,To be advertised with Project SFAPT00174,"Between $200,000 and $500,000"
SFAPT00212,FFY18 ST. PAUL AIRPORT VISUAL AID REPLACEMENT,SFAPT00212,3-02-0200-120-2018,Southcoast Region,Regionwide,Peter J Jackson,(907)465-4439,January 2022,"Remove and replace secondary wind cone and install new conduit and wire. Remove and replace primary wind cone and install new conduit and wire. Remove and replace rotating Airport Beacon.


Phase 4 - CC 24300206
LC 33004012",,"Between $200,000 and $500,000"
SFAPT00289,SR Airport Pavement Markings FFY22,SFAPT00289,N/A,Southcoast Region,Southcoast Region,David B Epstein,(907)465-4439,January 2022,"Perform SPM at various primary and non-primary airports in SR.  Planned maintenance activities include:  maintaining pavement markings on runways, taxiways, and aprons at Gustavus, Ketchikan, Petersburg, Wrangell, and Yakutat.",,"Between $500,000 and $1,000,000"
SSAPT00093,SR DM AIRPOR GATE/FENCE REPAIRS/REPLACEMENT,SSAPT00093,N/A,Southcoast Region,Gustavus,Bran P Pollard,(907)465-4526,January 2022,"Replace an existing electric cantilever gate with a new 24’ electric vertical pivot gate on a new concrete foundation at the Gustavus Airport. Project gate will connect to the existing Airport Access Control System, existing automatic vehicle gate controllers, and existing auxiliary automatic vehicle gate safety control systems. Includes removal of existing 20' cantilever gate, removal of existing concrete foundation, and removal of existing fencing.",,"Less than $200,000"
Z686560000,SR REGIONWIDE NHS SLOPE STABILIZATION,Z686560000,3188,Southcoast Region,Regionwide,Darryl Lester,(907)465-4421,January 2022,"This project will construct a maintenance access to a location on the Haines mile 19 debris flow. Construction activities include clearing, grubbing, excavation, grading, signage, fabrication of a vehicle access gate, and implementation of BMPs.",,"Between $500,000 and $1,000,000"
SFHWY00186,HSIP KTN STEDMAN & DEERMOUNT ST INTERSECTION SAFETY IMP,SFHWY00186,3244,Southcoast Region,Ketchikan,David B Epstein,(907)465-4439,February 2022,Provide additional illumination at the Stedman/Deermount intersection to achieve a level of luminance that meets current DOT&PF standards. Construct a concrete sidewalk bulbout on the Stedman side of the marked crosswalk. The bulbout will extend from the existing sidewalk to the edge of the traveled way.,,"Between $500,000 and $1,000,000"
SFHWY00163,JNU DOUGLAS HIGHWAY SLOPE STABILIZATION,SFHWY00163,959021,Southcoast Region,Juneau,David A Pyeatt,(907)465-4490,February 2022,"Repair a recent slope failure adjacent to a soldier pile and lagging retaining wall along the Juneau-Douglas Highway, in Douglas, Alaska.  The slope failure impacted adjacent property and exposed the solider pile and lagging wall supporting the Juneau-Douglas Highway and pedestrian pathway.  The purpose of the project is to protect the highway slope from failure due to down slope landslide activity out of the ROW by constructing a soldier pile wall.",Project to be advertised with SFHWY00315.,"Between $1,000,000 and $2,500,000"
SFHWY00315,JNU DOUGLAS HWY STAGE 2 CONSTRUCTION,SFHWY00315,958032,Southcoast Region,Juneau,David A Pyeatt,(907)465-4490,February 2022,"Work required for this project includes reconstructing and resurfacing Douglas Highway from about 700 feet south of Cordova Street to F Street.  Other work includes ADA improvements, storm drain system repairs, signing and striping improvements, and bridge joint repairs.  A list of anticipated work items are listed below:

•	Pavement removal and roadway excavation
•	Pavement cold planing
•	Removal and installation of concrete gutter and curb & gutters
•	Removal and installation of asphalt and concrete sidewalks
•	Reconstruction of existing accessible sidewalk ramps
•	Replacement and lining of existing culverts and storm drains
•	Construction of riprap aprons
•	Installation of new curb inlets
•	Removal and installation of storm drain manholes
•	Replacement of existing signs
•	Addition of new signs
•	New pavement markings
•	Replacement of existing guardrail and bridge transition rail
•	Repairs to existing Lawson Creek Bridge joints
•	Replacement of wood planter box and steps with concrete retaining wall and wood stairs at Villa Gastineau Condos",,"Between $5,000,000 and $10,000,000"
SFHWY00103,SIT HALIBUT POINT RD & PETERSON AVE INTERSECTION SAFETY IMPR,SFHWY00103,3214,Southcoast Region,Sitka,David B Epstein,(907)465-4439,February 2022,"Provide additional illumination at the Halibut Point Road/Peterson Avenue Intersection to achieve a level of luminance that meets current DOT&PF standards. Modify adjacent roadway lighting as needed to maintain satisfactory continuous illumination. Establish a pass-through crossing to facilitate less challenging pedestrian movements. Improve intersection sight distance by removing utility equipment located in the southeast quadrant of the intersection, acquiring property to remove parking spaces that, when occupied, create sight line obstructions, and modifying access to an apartment building adjacent to the intersection (shorten curb cut). Replace existing S1-1 School signs with W11-2 advance pedestrian warning signs.",,"Between $500,000 and $1,000,000"
SDRER00408,HNS MOSQUITO LAKE ROAD #550474 - DEC 20 SE PR,SDRER00408,PENDING FEMA RSA -DMV,Southcoast Region,Haines,Joel D Osburn,(907)465-4409,March 2022,"This project will permanently repair damage on Mosquito Lake Road caused by the December 2020 storm event in Southeast Alaska. The project includes repairing an embankment failure and replacing a damaged culvert.



This is a FEMA funded project which will be reimbursed thru RSA with DMVA 


",,"Between $200,000 and $500,000"
SFHWY00306,POW HOLLIS HWY GUARDRAIL SAFETY IMPROVEMENTS HSIP,SFHWY00306,3260,Southcoast Region,Prince Of Wales Island,Nathan A Purves,(907)465-4483,March 2022,"Determine the extent of the zone where we can expect a driver to recover control of there vehicle and remove/replace downstream guardrail end anchors that fall in that zone with guardrail parallel end terminals that are compliant with the Manual for Assessing Safety Hardware 16 (MASH16).
",,"Between $200,000 and $500,000"
SFHWY00379,PSG Mitkof Hwy MPt 10.8 Culvert Replacement - DEC 20 SE PR,SFHWY00379,AK2021-1,Southcoast Region,Petersburg,Joel D Osburn,(907)465-4409,March 2022,"This project is a Permanent Repair (PR) due to flooding that occurred during the December, 2020 storm event in the Southcoast Region of Alaska. The project need is to replace the existing 5.5' diameter culvert at Mitkof Highway milepoint (MPt) 10.8 to current standards and provide slope and road stability with a new 7' diameter culvert. Repairs may include, but are not limited to, asphalt, embankment, riprap, and drainage. This project repairs sites corresponding to Detailed Damage Inspection Report DDIR AK 2020 01 PTG001.",,"Between $200,000 and $500,000"
SFHWY00263,JNU FRANKLIN & THANE RESURFC: TRAM PARKING LOT TO MT ROBERTS,SFHWY00263,3250,Southcoast Region,Juneau,Darryl Lester,(907)465-4421,April 2022,"Resurface Franklin Street from the Tram parking lot to the intersection of Thane Road and Mt. Roberts Street.  Associated preventive maintenance activities may include minor structural section improvements, drainage repairs, striping, signs, and ADA improvements.",Pending funding availability. Advertisement may be delayed.,"Between $1,000,000 and $2,500,000"
SDRER00409,JNU THANE ROAD 189449 - DEC 20 SE PR,SDRER00409,WILL BE FEMA RSA -DMV,Southcoast Region,Juneau,Joel D Osburn,(907)465-4409,April 2022,"This project  is a Permanent Repair (PR) due to flooding that occurred during the  December, 2020 storm event in Southcoast Region of Alaska. Repairs may include, but are not limited to, asphalt, embankment, geotextile, riprap, and drainage. This project repairs a site on Thane Road at MPt 4.4.



This is a FEMA funded project which will be reimbursed thru RSA with DMVA",,"Between $500,000 and $1,000,000"
Z680850000,SGY STATE STREET PAVEMENT REHABILITATION,Z680850000,972018,Southcoast Region,Skagway,David A Pyeatt,(907)465-4490,April 2022,"Rehabilitate the pavement, replace curb and gutter in select areas, upgrade curb ramps and vehicular curb cuts to meet ADA standards, repair and/or replace drainage facilities as needed, and replace all signs within the project limits.","Rehabilitate the pavement from 1st Avenue to the Skagway River Bridge. Repair and/or replace existing drainage infrastructure. Replace existing sidewalk, curb ramps, and driveways to meet current ADA requirements.","Between $10,000,000 and $20,000,000"
SFHWY00069,KTN - WATER ST TRESTLE #1 IMPRVMNT,SFHWY00069,3224,Southcoast Region,Ketchikan,Kirk D Miller,(907)465-1215,May 2022,This project will replace or rehabilitate the Water Street Trestle No. 1 (No. 389).,,"Between $1,000,000 and $2,500,000"
SFAPT00236,HNH SEAPLANE FACILITY DREDGING AND CREEK RELOCATION,SFAPT00236,N/A,Southcoast Region,Hoonah,Loren K Gehring,(907)465-8189,June 2022,"Relocation of an existing stream bed and conduct dredging under the seaplane mooring float to restore sufficient water depths and/or relocation of the seaplane float structure to deeper water at the same location.



Phase:
T02000 - Par - All Costs
",,"Between $500,000 and $1,000,000"
Z680910000,KTN TONGASS AVE IMPROVEMENTS,Z680910000,902042,Southcoast Region,Ketchikan,Peter J Jackson,(907)465-4439,June 2022,"Refurbish Tongass Avenue, from MP 0.2000 to 1.2798 including rehabilitation of asphalt and concert pavement surfaces, curb and gutter, sidewalk, and correct ADA deficiencies, making improvements to the lane configurations and to the pedestrian and bike facilities to improve safety and level of service.",,"Between $5,000,000 and $10,000,000"
SFHWY00307,JNU EGAN YANDUKIN INTERSECTION IMPROVEMENTS HSIP,SFHWY00307,3261,Southcoast Region,Juneau,David B Epstein,(907)465-4439,July 2022,Set seasonal speed limit reduction on Egan in the vicinity of the Egan Yandukin intersection. Improve delineation for both left turns on Egan to improve line of sight and reduce travel distance to clear opposing traffic. Improve delineation for the northbound right turn movement from Egan to make it easier for southbound left turn drivers to determine if opposing traffic is executing the right turn or continuing through the intersection.,,"Between $1,000,000 and $2,500,000"
SFHWY00111,KDK CHINIAK HIGHWAY REHABILITATION: MILE POST 15 TO 31,SFHWY00111,391015,Southcoast Region,Kodiak,James L Brown,(907)465-1796,August 2022,"Rehabilitate the Chiniak Highway from Milepost 15 to just past 31 to improve and preserve the roadway subgrade and surface.  Address lighting, guardrails, drainage, culverts and other highway appurtenances as needed.
",,"Between $10,000,000 and $20,000,000"
SFAPT00124,KING SALMON AIRPORT PERIMETER FENCING UPGRADES,SFAPT00124,N/A,Southcoast Region,King Salmon,Loren K Gehring,(907)465-8189,August 2022,"Replace/upgrade access controls/gates to meet 49 CFR 1542 requirements. Replace existing fencing as needed.
",Construct perimeter fencing and gate upgrades. Upgrades include providing new automatic vehicle gates and pedestrian gates with electric lock gate systems.,"Between $1,000,000 and $2,500,000"
SFAPT00327,KTN AIRPORT SEAPLANE RAMP AND HAUL OUT REFURBISHMENT,SFAPT00327,N/A,Southcoast Region,Ketchikan,Loren K Gehring,(907)465-8189,August 2022,"Refurbish and/or replace existing seaplane float and haul-out ramp facility at the Ketchikan Airport. Investigate replacement at a new
location.",,"Between $1,000,000 and $2,500,000"
SFHWY00359,JNU BRIDGET COVE CREEK CULVERT REPLACEMENT,SFHWY00359,3267,Southcoast Region,Juneau,Darryl Lester,(907)465-4421,September 2022,Replace the twin culverts at Bridget Cove Creek.,,"Between $500,000 and $1,000,000"
SFHWY00259,JNU KAXDIGOOWU HEEN DEI IMP (BROTHERHOOD BRIDGE TRAIL IMP),SFHWY00259,TA18010,Southcoast Region,Juneau,Peter J Jackson,(907)465-4439,September 2022,"This project will design and improve the Kaxdigoowu Heen Dei (Kax) Trail from River Road to the edge of Brotherhood Meadow, where a re-route planned for construction in 2019 would end, and create a new segment of paved trail that connects from the edge of Brotherhood Meadow to the Wildmeadow Neighborhood and the newly constructed trail from Pederson Hill neighborhood. Work will primarily consist of selected areas of subgrade repair, repave the 8 foot wide trail, replace and add new culverts as needed, and build approximately 1,500 feet of new trail section. The new trail will be composed of fill, D-1, and 8 foot wide asphalt with 1 foot shoulders. the pedestrian bridge at Montana Creek will be replaced or modified to provide a larger span that allows for some natural stream movement and can withstand emergency and maintenance vehicle use once again, and the banks armored to increase the expected useful life of the bridge. Additional improvements include adding bike racks, installing interpretive signs, and increasing site distance along the trail.
",,"Between $1,000,000 and $2,500,000"
SFHWY00308,WRG ZIMOVIA HWY ROCK FALL MITIGATION HSIP,SFHWY00308,3262,Southcoast Region,Wrangell,Nathan A Purves,(907)465-4483,September 2022,"Analyze and identify areas within the three targeted rockfall zones and apply the proscribed mitigation techniques to stabilize slopes to reduce hazards falling into the road.
",,"Between $200,000 and $500,000"
SAMHS00300,AMHS SYSTEM WIDE BRIDGE IMPROVEMENTS (FHWA),SAMHS00300,9500154,Southcoast Region,Regionwide,Loren K Gehring,(907)465-8189,October 2022,"Make improvements to AMHS ferry terminal transfer bridges at various locations Statewide to extend their service life and maintain functionality. AMHS relies on 25 different vehicle transfer bridges for its operations. Improvements would include: bridge and float blast cleaning and repainting, weld crack repairs, floor beam strengthening, girder redundancy modifications, utility improvements, bridge and apron lift system improvements, and bridge transition improvements.

Design work anticipated to be accomplished under this program and separate projects will be established for the construction phase.",,"Between $1,000,000 and $2,500,000"
